gene_id	gene_name	description	gene_biotype
ENSMUSG00000097484	Gm26807	predicted gene, 26807 [Source:MGI Symbol;Acc:MGI:5477301]	lncRNA
ENSMUSG00000029916	Agk	acylglycerol kinase [Source:MGI Symbol;Acc:MGI:1917173]	protein_coding
ENSMUSG00000037172	E330009J07Rik	RIKEN cDNA E330009J07 gene [Source:MGI Symbol;Acc:MGI:2444256]	protein_coding
ENSMUSG00000037159	Wee2	WEE1 homolog 2 (S. pombe) [Source:MGI Symbol;Acc:MGI:3027899]	protein_coding
ENSMUSG00000029911	Ssbp1	single-stranded DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1920040]	protein_coding
ENSMUSG00000052850	Tas2r137	taste receptor, type 2, member 137 [Source:MGI Symbol;Acc:MGI:3606604]	protein_coding
ENSMUSG00000037140	Tas2r108	taste receptor, type 2, member 108 [Source:MGI Symbol;Acc:MGI:2681210]	protein_coding
ENSMUSG00000029909	Prss37	protease, serine 37 [Source:MGI Symbol;Acc:MGI:1914940]	protein_coding
ENSMUSG00000068259	Olfr461	olfactory receptor 461 [Source:MGI Symbol;Acc:MGI:3030295]	protein_coding
ENSMUSG00000045514	Olfr460	olfactory receptor 460 [Source:MGI Symbol;Acc:MGI:3030294]	protein_coding
ENSMUSG00000029915	Clec5a	C-type lectin domain family 5, member a [Source:MGI Symbol;Acc:MGI:1345151]	protein_coding
ENSMUSG00000058250	Tas2r138	taste receptor, type 2, member 138 [Source:MGI Symbol;Acc:MGI:2681306]	protein_coding
ENSMUSG00000068587	Mgam	maltase-glucoamylase [Source:MGI Symbol;Acc:MGI:1203495]	protein_coding
ENSMUSG00000102802	Mgam2-ps	maltase-glucoamylase 2, pseudogene [Source:MGI Symbol;Acc:MGI:3645497]	protein_coding
ENSMUSG00000029885	Moxd2	monooxygenase, DBH-like 2 [Source:MGI Symbol;Acc:MGI:2388042]	protein_coding
ENSMUSG00000076461	Trbv1	T cell receptor beta, variable 1 [Source:MGI Symbol;Acc:MGI:98594]	TR_V_gene
ENSMUSG00000051936	Prss58	protease, serine 58 [Source:MGI Symbol;Acc:MGI:3608323]	protein_coding
ENSMUSG00000029883	1700074P13Rik	RIKEN cDNA 1700074P13 gene [Source:MGI Symbol;Acc:MGI:1920731]	protein_coding
ENSMUSG00000063252	Gm4744	predicted gene 4744 [Source:MGI Symbol;Acc:MGI:3643181]	protein_coding
ENSMUSG00000101629	Gm29588	predicted gene 29588 [Source:MGI Symbol;Acc:MGI:5580294]	lncRNA
ENSMUSG00000094808	1810009J06Rik	RIKEN cDNA 1810009J06 gene [Source:MGI Symbol;Acc:MGI:1920876]	protein_coding
ENSMUSG00000096525	Gm2663	predicted gene 2663 [Source:MGI Symbol;Acc:MGI:3780832]	protein_coding
ENSMUSG00000029882	2210010C04Rik	RIKEN cDNA 2210010C04 gene [Source:MGI Symbol;Acc:MGI:1914623]	protein_coding
ENSMUSG00000076462	Trbv2	T cell receptor beta, variable 2 [Source:MGI Symbol;Acc:MGI:98599]	TR_V_gene
ENSMUSG00000076463	Trbv3	T cell receptor beta, variable 3 [Source:MGI Symbol;Acc:MGI:98590]	TR_V_gene
ENSMUSG00000103586	5830405F06Rik	RIKEN cDNA 5830405F06 gene [Source:MGI Symbol;Acc:MGI:1923265]	lncRNA
ENSMUSG00000107486	Trbv4	T cell receptor beta, variable 10 [Source:MGI Symbol;Acc:MGI:98584]	TR_V_gene
ENSMUSG00000076465	Trbv5	T cell receptor beta, variable 5 [Source:MGI Symbol;Acc:MGI:98583]	TR_V_gene
ENSMUSG00000103807	Trbv6	T cell receptor beta variable 6 [Source:MGI Symbol;Acc:MGI:5009962]	TR_V_pseudogene
ENSMUSG00000102622	Trbv7	T cell receptor beta variable 7 [Source:MGI Symbol;Acc:MGI:5009963]	TR_V_pseudogene
ENSMUSG00000103833	Gm49885	predicted gene, 49885 [Source:MGI Symbol;Acc:MGI:6270568]	lncRNA
ENSMUSG00000102821	Trbv8	T cell receptor beta variable 8 [Source:MGI Symbol;Acc:MGI:5009964]	TR_V_pseudogene
ENSMUSG00000104198	Trbv9	T cell receptor beta variable 9 [Source:MGI Symbol;Acc:MGI:5009965]	TR_V_pseudogene
ENSMUSG00000091671	Trbv10	T cell receptor beta variable 10 [Source:MGI Symbol;Acc:MGI:4937160]	TR_V_pseudogene
ENSMUSG00000102903	Trbv11	T cell receptor beta variable 11 [Source:MGI Symbol;Acc:MGI:5009966]	TR_V_pseudogene
ENSMUSG00000095574	Trbv12-1	T cell receptor beta, variable 12-1 [Source:MGI Symbol;Acc:MGI:98602]	TR_V_gene
ENSMUSG00000076467	Trbv13-1	T cell receptor beta, variable 13-1 [Source:MGI Symbol;Acc:MGI:98609]	TR_V_gene
ENSMUSG00000094525	Trbv12-2	T cell receptor beta, variable 12-2 [Source:MGI Symbol;Acc:MGI:98601]	TR_V_gene
ENSMUSG00000076469	Trbv13-2	T cell receptor beta, variable 13-2 [Source:MGI Symbol;Acc:MGI:98608]	TR_V_gene
ENSMUSG00000102327	Trbv12-3	T cell receptor beta, variable 12-3 [Source:MGI Symbol;Acc:MGI:98603]	TR_V_pseudogene
ENSMUSG00000076470	Trbv13-3	T cell receptor beta, variable 13-3 [Source:MGI Symbol;Acc:MGI:98607]	TR_V_gene
ENSMUSG00000076471	Trbv14	T cell receptor beta, variable 14 [Source:MGI Symbol;Acc:MGI:98587]	TR_V_gene
ENSMUSG00000076472	Trbv15	T cell receptor beta, variable 15 [Source:MGI Symbol;Acc:MGI:98586]	TR_V_gene
ENSMUSG00000076473	Trbv16	T cell receptor beta, variable 16 [Source:MGI Symbol;Acc:MGI:98585]	TR_V_gene
ENSMUSG00000076474	Trbv17	T cell receptor beta, variable 17 [Source:MGI Symbol;Acc:MGI:98610]	TR_V_gene
ENSMUSG00000102409	Trbv18	T cell receptor beta variable 18 [Source:MGI Symbol;Acc:MGI:5009967]	TR_V_pseudogene
ENSMUSG00000076475	Trbv19	T cell receptor beta, variable 19 [Source:MGI Symbol;Acc:MGI:98604]	TR_V_gene
ENSMUSG00000076476	Trbv20	T cell receptor beta, variable 20 [Source:MGI Symbol;Acc:MGI:98589]	TR_V_gene
ENSMUSG00000076477	Trbv21	T cell receptor beta, variable 21 [Source:MGI Symbol;Acc:MGI:98593]	TR_V_gene
ENSMUSG00000102988	Trbv22	T cell receptor beta variable 22 [Source:MGI Symbol;Acc:MGI:5009968]	TR_V_pseudogene
ENSMUSG00000076478	Trbv23	T cell receptor beta, variable V23 [Source:MGI Symbol;Acc:MGI:98595]	TR_V_gene
ENSMUSG00000102955	Trbv24	T cell receptor beta, variable 24 [Source:MGI Symbol;Acc:MGI:98591]	TR_V_pseudogene
ENSMUSG00000104473	Trbv25	T cell receptor beta variable 25 [Source:MGI Symbol;Acc:MGI:5009969]	TR_V_pseudogene
ENSMUSG00000076479	Trbv26	T cell receptor beta, variable 26 [Source:MGI Symbol;Acc:MGI:98596]	TR_V_gene
ENSMUSG00000104254	Trbv27	T cell receptor beta variable 27 [Source:MGI Symbol;Acc:MGI:5009970]	TR_V_pseudogene
ENSMUSG00000104326	Trbv28	T cell receptor beta variable 28 [Source:MGI Symbol;Acc:MGI:5009971]	TR_V_pseudogene
ENSMUSG00000076480	Trbv29	T cell receptor beta, variable 29 [Source:MGI Symbol;Acc:MGI:98605]	TR_V_gene
ENSMUSG00000076481	Trbv30	T cell receptor beta, variable 30 [Source:MGI Symbol;Acc:MGI:98592]	TR_V_gene
ENSMUSG00000054106	Try4	trypsin 4 [Source:MGI Symbol;Acc:MGI:102757]	protein_coding
ENSMUSG00000036938	Try5	trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]	protein_coding
ENSMUSG00000071521	Try10	trypsin 10 [Source:MGI Symbol;Acc:MGI:3687012]	protein_coding
ENSMUSG00000071519	Prss3	protease, serine 3 [Source:MGI Symbol;Acc:MGI:102758]	protein_coding
ENSMUSG00000058119	Gm5771	predicted gene 5771 [Source:MGI Symbol;Acc:MGI:3646222]	protein_coding
ENSMUSG00000071517	Gm10334	predicted gene 10334 [Source:MGI Symbol;Acc:MGI:3641889]	protein_coding
ENSMUSG00000062751	Prss1	protease, serine 1 (trypsin 1) [Source:MGI Symbol;Acc:MGI:98839]	protein_coding
ENSMUSG00000057163	Prss2	protease, serine 2 [Source:MGI Symbol;Acc:MGI:102759]	protein_coding
ENSMUSG00000095668	Trbd1	T cell receptor beta, D region 1 [Source:MGI Symbol;Acc:MGI:4439571]	TR_D_gene
ENSMUSG00000076483	Trbj1-1	T cell receptor beta joining 1-1 [Source:MGI Symbol;Acc:MGI:4439570]	TR_J_gene
ENSMUSG00000076484	Trbj1-2	T cell receptor beta joining 1-2 [Source:MGI Symbol;Acc:MGI:4439569]	TR_J_gene
ENSMUSG00000076485	Trbj1-3	T cell receptor beta joining 1-3 [Source:MGI Symbol;Acc:MGI:4439568]	TR_J_gene
ENSMUSG00000076486	Trbj1-4	T cell receptor beta joining 1-4 [Source:MGI Symbol;Acc:MGI:4439567]	TR_J_gene
ENSMUSG00000076487	Trbj1-5	T cell receptor beta joining 1-5 [Source:MGI Symbol;Acc:MGI:4439566]	TR_J_gene
ENSMUSG00000076488	Trbj1-6	T cell receptor beta joining 1-6 [Source:MGI Symbol;Acc:MGI:4439575]	TR_J_gene
ENSMUSG00000076489	Trbj1-7	T cell receptor beta joining 1-7 [Source:MGI Symbol;Acc:MGI:4439574]	TR_J_gene
ENSMUSG00000076490	Trbc1	T cell receptor beta, constant region 1 [Source:MGI Symbol;Acc:MGI:4439726]	TR_C_gene
ENSMUSG00000094569	Trbd2	T cell receptor beta, D region 2 [Source:MGI Symbol;Acc:MGI:4439727]	TR_D_gene
ENSMUSG00000076492	Trbj2-1	T cell receptor beta joining 2-1 [Source:MGI Symbol;Acc:MGI:4439728]	TR_J_gene
ENSMUSG00000076493	Trbj2-2	T cell receptor beta joining 2-2 [Source:MGI Symbol;Acc:MGI:4439729]	TR_J_gene
ENSMUSG00000076494	Trbj2-3	T cell receptor beta joining 2-3 [Source:MGI Symbol;Acc:MGI:4439898]	TR_J_gene
ENSMUSG00000076495	Trbj2-4	T cell receptor beta joining 2-4 [Source:MGI Symbol;Acc:MGI:4439730]	TR_J_gene
ENSMUSG00000076496	Trbj2-5	T cell receptor beta joining 2-5 [Source:MGI Symbol;Acc:MGI:4439899]	TR_J_gene
ENSMUSG00000090818	Trbj2-6	T cell receptor beta joining 2-6 [Source:MGI Symbol;Acc:MGI:4937236]	TR_J_pseudogene
ENSMUSG00000076497	Trbj2-7	T cell receptor beta joining 2-7 [Source:MGI Symbol;Acc:MGI:4439731]	TR_J_gene
ENSMUSG00000076498	Trbc2	T cell receptor beta, constant 2 [Source:MGI Symbol;Acc:MGI:4835227]	TR_C_gene
ENSMUSG00000076499	Trbv31	T cell receptor beta, variable 31 [Source:MGI Symbol;Acc:MGI:98588]	TR_V_gene
ENSMUSG00000029869	Ephb6	Eph receptor B6 [Source:MGI Symbol;Acc:MGI:1096338]	protein_coding
ENSMUSG00000029868	Trpv6	transient receptor potential cation channel, subfamily V, member 6 [Source:MGI Symbol;Acc:MGI:1927259]	protein_coding
ENSMUSG00000036899	Trpv5	transient receptor potential cation channel, subfamily V, member 5 [Source:MGI Symbol;Acc:MGI:2429764]	protein_coding
ENSMUSG00000029867	Llcfc1	LLLL and CFNLAS motif containing 1 [Source:MGI Symbol;Acc:MGI:1923856]	protein_coding
ENSMUSG00000029866	Kel	Kell blood group [Source:MGI Symbol;Acc:MGI:1346053]	protein_coding
ENSMUSG00000045479	Olfr459	olfactory receptor 459 [Source:MGI Symbol;Acc:MGI:3030293]	protein_coding
ENSMUSG00000058499	Pip	prolactin induced protein [Source:MGI Symbol;Acc:MGI:102696]	protein_coding
ENSMUSG00000014104	Sval2	seminal vesicle antigen-like 2 [Source:MGI Symbol;Acc:MGI:1934254]	protein_coding
ENSMUSG00000029865	Sval1	seminal vesicle antigen-like 1 [Source:MGI Symbol;Acc:MGI:1918828]	protein_coding
ENSMUSG00000062833	Sval3	seminal vesicle antigen-like 3 [Source:MGI Symbol;Acc:MGI:3047714]	protein_coding
ENSMUSG00000023289	Sva	seminal vesicle antigen [Source:MGI Symbol;Acc:MGI:102785]	protein_coding
ENSMUSG00000047102	Tas2r139	taste receptor, type 2, member 139 [Source:MGI Symbol;Acc:MGI:2681308]	protein_coding
ENSMUSG00000051917	Tas2r144	taste receptor, type 2, member 144 [Source:MGI Symbol;Acc:MGI:2681312]	protein_coding
ENSMUSG00000029864	Gstk1	glutathione S-transferase kappa 1 [Source:MGI Symbol;Acc:MGI:1923513]	protein_coding
ENSMUSG00000071506	Tmem139	transmembrane protein 139 [Source:MGI Symbol;Acc:MGI:1924444]	protein_coding
ENSMUSG00000029863	Casp2	caspase 2 [Source:MGI Symbol;Acc:MGI:97295]	protein_coding
ENSMUSG00000029862	Clcn1	chloride channel, voltage-sensitive 1 [Source:MGI Symbol;Acc:MGI:88417]	protein_coding
ENSMUSG00000029861	Fam131b	family with sequence similarity 131, member B [Source:MGI Symbol;Acc:MGI:1923406]	protein_coding
ENSMUSG00000108033	Gm44284	predicted gene, 44284 [Source:MGI Symbol;Acc:MGI:5690676]	lncRNA
ENSMUSG00000029860	Zyx	zyxin [Source:MGI Symbol;Acc:MGI:103072]	protein_coding
ENSMUSG00000029859	Epha1	Eph receptor A1 [Source:MGI Symbol;Acc:MGI:107381]	protein_coding
ENSMUSG00000101268	2010310C07Rik	RIKEN cDNA 2010310C07 gene [Source:MGI Symbol;Acc:MGI:1919381]	lncRNA
ENSMUSG00000046652	Tas2r143	taste receptor, type 2, member 143 [Source:MGI Symbol;Acc:MGI:2681310]	protein_coding
ENSMUSG00000056203	Tas2r135	taste receptor, type 2, member 135 [Source:MGI Symbol;Acc:MGI:2681302]	protein_coding
ENSMUSG00000048284	Tas2r126	taste receptor, type 2, member 126 [Source:MGI Symbol;Acc:MGI:2681273]	protein_coding
ENSMUSG00000068574	Olfr458	olfactory receptor 458 [Source:MGI Symbol;Acc:MGI:3030292]	protein_coding
ENSMUSG00000091983	Olfr457	olfactory receptor 457 [Source:MGI Symbol;Acc:MGI:3030291]	protein_coding
ENSMUSG00000090631	Olfr456	olfactory receptor 456 [Source:MGI Symbol;Acc:MGI:3030290]	protein_coding
ENSMUSG00000071494	Olfr455	olfactory receptor 455 [Source:MGI Symbol;Acc:MGI:3030289]	protein_coding
ENSMUSG00000018656	Tcaf3	TRPM8 channel-associated factor 3 [Source:MGI Symbol;Acc:MGI:3042585]	protein_coding
ENSMUSG00000029851	Tcaf2	TRPM8 channel-associated factor 2 [Source:MGI Symbol;Acc:MGI:2385258]	protein_coding
ENSMUSG00000036667	Tcaf1	TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]	protein_coding
ENSMUSG00000095831	Olfr453	olfactory receptor 453 [Source:MGI Symbol;Acc:MGI:3030287]	protein_coding
ENSMUSG00000095236	Olfr38	olfactory receptor 38 [Source:MGI Symbol;Acc:MGI:1313140]	protein_coding
ENSMUSG00000094192	Olfr452	olfactory receptor 452 [Source:MGI Symbol;Acc:MGI:3030286]	protein_coding
ENSMUSG00000054431	Olfr450	olfactory receptor 450 [Source:MGI Symbol;Acc:MGI:3030284]	protein_coding
ENSMUSG00000049168	Olfr449	olfactory receptor 449 [Source:MGI Symbol;Acc:MGI:3030283]	protein_coding
ENSMUSG00000043119	Olfr448	olfactory receptor 448 [Source:MGI Symbol;Acc:MGI:3030282]	protein_coding
ENSMUSG00000045708	Olfr447	olfactory receptor 447 [Source:MGI Symbol;Acc:MGI:3030281]	protein_coding
ENSMUSG00000073111	Olfr446	olfactory receptor 446 [Source:MGI Symbol;Acc:MGI:3030280]	protein_coding
ENSMUSG00000073110	Olfr444	olfactory receptor 444 [Source:MGI Symbol;Acc:MGI:3030278]	protein_coding
ENSMUSG00000091008	Gm17472	predicted gene, 17472 [Source:MGI Symbol;Acc:MGI:4937106]	IG_LV_gene
ENSMUSG00000076500	Gm20730	predicted gene, 20730 [Source:MGI Symbol;Acc:MGI:5313039]	IG_LV_gene
ENSMUSG00000094669	Olfr441	olfactory receptor 441 [Source:MGI Symbol;Acc:MGI:3030275]	protein_coding
ENSMUSG00000094200	Olfr237-ps1	olfactory receptor 237, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030071]	protein_coding
ENSMUSG00000071481	Olfr437	olfactory receptor 437 [Source:MGI Symbol;Acc:MGI:3030271]	protein_coding
ENSMUSG00000043605	Olfr13	olfactory receptor 13 [Source:MGI Symbol;Acc:MGI:104812]	protein_coding
ENSMUSG00000048693	Olfr435	olfactory receptor 435 [Source:MGI Symbol;Acc:MGI:3030269]	protein_coding
ENSMUSG00000059411	Olfr434	olfactory receptor 434 [Source:MGI Symbol;Acc:MGI:3030268]	protein_coding
ENSMUSG00000061210	Olfr47	olfactory receptor 47 [Source:MGI Symbol;Acc:MGI:1333821]	protein_coding
ENSMUSG00000108190	Gm44731	predicted gene 44731 [Source:MGI Symbol;Acc:MGI:5753307]	lncRNA
ENSMUSG00000033542	Arhgef5	Rho guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:1858952]	protein_coding
ENSMUSG00000029736	Nobox	NOBOX oogenesis homeobox [Source:MGI Symbol;Acc:MGI:108011]	protein_coding
ENSMUSG00000029735	Tpk1	thiamine pyrophosphokinase [Source:MGI Symbol;Acc:MGI:1352500]	protein_coding
ENSMUSG00000107709	9430018G01Rik	RIKEN cDNA 9430018G01 gene [Source:MGI Symbol;Acc:MGI:2442776]	lncRNA
ENSMUSG00000107598	Gm35216	predicted gene, 35216 [Source:MGI Symbol;Acc:MGI:5594375]	lncRNA
ENSMUSG00000039419	Cntnap2	contactin associated protein-like 2 [Source:MGI Symbol;Acc:MGI:1914047]	protein_coding
ENSMUSG00000029686	Cul1	cullin 1 [Source:MGI Symbol;Acc:MGI:1349658]	protein_coding
ENSMUSG00000029687	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:107940]	protein_coding
ENSMUSG00000025823	Pdia4	protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]	protein_coding
ENSMUSG00000051499	Zfp786	zinc finger protein 786 [Source:MGI Symbol;Acc:MGI:3026883]	protein_coding
ENSMUSG00000062519	Zfp398	zinc finger protein 398 [Source:MGI Symbol;Acc:MGI:1917856]	protein_coding
ENSMUSG00000025821	Zfp282	zinc finger protein 282 [Source:MGI Symbol;Acc:MGI:2141413]	protein_coding
ENSMUSG00000052763	Zfp212	Zinc finger protein 212 [Source:MGI Symbol;Acc:MGI:2682609]	protein_coding
ENSMUSG00000045466	Zfp956	zinc finger protein 956 [Source:MGI Symbol;Acc:MGI:2141515]	protein_coding
ENSMUSG00000071477	Zfp777	zinc finger protein 777 [Source:MGI Symbol;Acc:MGI:1919556]	protein_coding
ENSMUSG00000108101	Gm45738	predicted gene 45738 [Source:MGI Symbol;Acc:MGI:5804853]	lncRNA
ENSMUSG00000057691	Zfp746	zinc finger protein 746 [Source:MGI Symbol;Acc:MGI:1916478]	protein_coding
ENSMUSG00000097434	Gm16630	predicted gene, 16630 [Source:MGI Symbol;Acc:MGI:4439554]	lncRNA
ENSMUSG00000107875	Gm44696	predicted gene 44696 [Source:MGI Symbol;Acc:MGI:5753272]	lncRNA
ENSMUSG00000042810	Krba1	KRAB-A domain containing 1 [Source:MGI Symbol;Acc:MGI:1925077]	protein_coding
ENSMUSG00000068551	Zfp467	zinc finger protein 467 [Source:MGI Symbol;Acc:MGI:1916160]	protein_coding
ENSMUSG00000029797	Sspo	SCO-spondin [Source:MGI Symbol;Acc:MGI:2674311]	protein_coding
ENSMUSG00000097716	1700026J14Rik	RIKEN cDNA 1700026J14 gene [Source:MGI Symbol;Acc:MGI:1916682]	lncRNA
ENSMUSG00000039347	Atp6v0e2	ATPase, H+ transporting, lysosomal V0 subunit E2 [Source:MGI Symbol;Acc:MGI:1923502]	protein_coding
ENSMUSG00000073096	Lrrc61	leucine rich repeat containing 61 [Source:MGI Symbol;Acc:MGI:2652848]	protein_coding
ENSMUSG00000009281	Rarres2	retinoic acid receptor responder (tazarotene induced) 2 [Source:MGI Symbol;Acc:MGI:1918910]	protein_coding
ENSMUSG00000052730	Gm5111	predicted gene 5111 [Source:MGI Symbol;Acc:MGI:3645688]	lncRNA
ENSMUSG00000052751	Repin1	replication initiator 1 [Source:MGI Symbol;Acc:MGI:1889817]	protein_coding
ENSMUSG00000007216	Zfp775	zinc finger protein 775 [Source:MGI Symbol;Acc:MGI:2683557]	protein_coding
ENSMUSG00000107640	Gm38804	predicted gene, 38804 [Source:MGI Symbol;Acc:MGI:5621689]	lncRNA
ENSMUSG00000053297	AI854703	expressed sequence AI854703 [Source:MGI Symbol;Acc:MGI:2141510]	protein_coding
ENSMUSG00000064262	Gimap8	GTPase, IMAP family member 8 [Source:MGI Symbol;Acc:MGI:2685303]	protein_coding
ENSMUSG00000051124	Gimap9	GTPase, IMAP family member 9 [Source:MGI Symbol;Acc:MGI:3511744]	protein_coding
ENSMUSG00000054435	Gimap4	GTPase, IMAP family member 4 [Source:MGI Symbol;Acc:MGI:1349656]	protein_coding
ENSMUSG00000047867	Gimap6	GTPase, IMAP family member 6 [Source:MGI Symbol;Acc:MGI:1918876]	protein_coding
ENSMUSG00000043931	Gimap7	GTPase, IMAP family member 7 [Source:MGI Symbol;Acc:MGI:1349657]	protein_coding
ENSMUSG00000044867	Gimap1os	GTPase, IMAP family member 1, opposite strand [Source:MGI Symbol;Acc:MGI:3781523]	lncRNA
ENSMUSG00000090019	Gimap1	GTPase, IMAP family member 1 [Source:MGI Symbol;Acc:MGI:109368]	protein_coding
ENSMUSG00000043505	Gimap5	GTPase, IMAP family member 5 [Source:MGI Symbol;Acc:MGI:2442232]	protein_coding
ENSMUSG00000108298	Gm44226	predicted gene, 44226 [Source:MGI Symbol;Acc:MGI:5690618]	lncRNA
ENSMUSG00000107481	4833403J16Rik	RIKEN cDNA 4833403J16 gene [Source:MGI Symbol;Acc:MGI:1921153]	lncRNA
ENSMUSG00000039264	Gimap3	GTPase, IMAP family member 3 [Source:MGI Symbol;Acc:MGI:1932723]	protein_coding
ENSMUSG00000108130	Gm30781	predicted gene, 30781 [Source:MGI Symbol;Acc:MGI:5589940]	lncRNA
ENSMUSG00000029810	Tmem176b	transmembrane protein 176B [Source:MGI Symbol;Acc:MGI:1916348]	protein_coding
ENSMUSG00000023367	Tmem176a	transmembrane protein 176A [Source:MGI Symbol;Acc:MGI:1913308]	protein_coding
ENSMUSG00000107597	Gm44764	predicted gene 44764 [Source:MGI Symbol;Acc:MGI:5753340]	lncRNA
ENSMUSG00000108084	Gm7932	predicted gene 7932 [Source:MGI Symbol;Acc:MGI:3643446]	lncRNA
ENSMUSG00000029811	Aoc1	amine oxidase, copper-containing 1 [Source:MGI Symbol;Acc:MGI:1923757]	protein_coding
ENSMUSG00000029813	Doxl1	diamine oxidase-like protein 1 [Source:MGI Symbol;Acc:MGI:1917011]	protein_coding
ENSMUSG00000068536	Doxl2	diamine oxidase-like protein 2 [Source:MGI Symbol;Acc:MGI:3618290]	protein_coding
ENSMUSG00000107656	4930563H07Rik	RIKEN cDNA 4930563H07 gene [Source:MGI Symbol;Acc:MGI:1922597]	lncRNA
ENSMUSG00000039215	Svs1	seminal vesicle secretory protein 1 [Source:MGI Symbol;Acc:MGI:2682321]	protein_coding
ENSMUSG00000029816	Gpnmb	glycoprotein (transmembrane) nmb [Source:MGI Symbol;Acc:MGI:1934765]	protein_coding
ENSMUSG00000029815	Malsu1	mitochondrial assembly of ribosomal large subunit 1 [Source:MGI Symbol;Acc:MGI:1922843]	protein_coding
ENSMUSG00000029814	Igf2bp3	insulin-like growth factor 2 mRNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1890359]	protein_coding
ENSMUSG00000029817	Tra2a	transformer 2 alpha [Source:MGI Symbol;Acc:MGI:1933972]	protein_coding
ENSMUSG00000050786	Ccdc126	coiled-coil domain containing 126 [Source:MGI Symbol;Acc:MGI:1889376]	protein_coding
ENSMUSG00000047115	Fam221a	family with sequence similarity 221, member A [Source:MGI Symbol;Acc:MGI:2442161]	protein_coding
ENSMUSG00000023403	Stk31	serine threonine kinase 31 [Source:MGI Symbol;Acc:MGI:1924735]	protein_coding
ENSMUSG00000029819	Npy	neuropeptide Y [Source:MGI Symbol;Acc:MGI:97374]	protein_coding
ENSMUSG00000108071	Gm3455	predicted gene 3455 [Source:MGI Symbol;Acc:MGI:3781631]	lncRNA
ENSMUSG00000038388	Mpp6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6) [Source:MGI Symbol;Acc:MGI:1927340]	protein_coding
ENSMUSG00000029821	Gsdme	gasdermin E [Source:MGI Symbol;Acc:MGI:1889850]	protein_coding
ENSMUSG00000029822	Osbpl3	oxysterol binding protein-like 3 [Source:MGI Symbol;Acc:MGI:1918970]	protein_coding
ENSMUSG00000063694	Cycs	cytochrome c, somatic [Source:MGI Symbol;Acc:MGI:88578]	protein_coding
ENSMUSG00000085776	5430402O13Rik	RIKEN cDNA 5430402O13 gene [Source:MGI Symbol;Acc:MGI:1918631]	lncRNA
ENSMUSG00000029828	4921507P07Rik	RIKEN cDNA 4921507P07 gene [Source:MGI Symbol;Acc:MGI:1918071]	protein_coding
ENSMUSG00000029831	Npvf	neuropeptide VF precursor [Source:MGI Symbol;Acc:MGI:1926488]	protein_coding
ENSMUSG00000107667	C530044C16Rik	RIKEN cDNA C530044C16 gene [Source:MGI Symbol;Acc:MGI:2443109]	lncRNA
ENSMUSG00000107978	Gm44109	predicted gene, 44109 [Source:MGI Symbol;Acc:MGI:5690501]	lncRNA
ENSMUSG00000107993	G930045G22Rik	RIKEN cDNA G930045G22 gene [Source:MGI Symbol;Acc:MGI:3588242]	lncRNA
ENSMUSG00000107619	Gm32479	predicted gene, 32479 [Source:MGI Symbol;Acc:MGI:5591638]	lncRNA
ENSMUSG00000107660	Gm6559	predicted gene 6559 [Source:MGI Symbol;Acc:MGI:3643041]	lncRNA
ENSMUSG00000108236	0610033M10Rik	RIKEN cDNA 0610033M10 gene [Source:MGI Symbol;Acc:MGI:1921343]	lncRNA
ENSMUSG00000029832	Nfe2l3	nuclear factor, erythroid derived 2, like 3 [Source:MGI Symbol;Acc:MGI:1339958]	protein_coding
ENSMUSG00000004980	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]	protein_coding
ENSMUSG00000029836	Cbx3	chromobox 3 [Source:MGI Symbol;Acc:MGI:108515]	protein_coding
ENSMUSG00000038301	Snx10	sorting nexin 10 [Source:MGI Symbol;Acc:MGI:1919232]	protein_coding
ENSMUSG00000108145	Gm38811	predicted gene, 38811 [Source:MGI Symbol;Acc:MGI:5621696]	lncRNA
ENSMUSG00000059182	Skap2	src family associated phosphoprotein 2 [Source:MGI Symbol;Acc:MGI:1889206]	protein_coding
ENSMUSG00000108244	Gm44077	predicted gene, 44077 [Source:MGI Symbol;Acc:MGI:5690469]	lncRNA
ENSMUSG00000085412	Halr1	Hoxa adjacent long noncoding RNA 1 [Source:MGI Symbol;Acc:MGI:3705267]	lncRNA
ENSMUSG00000029844	Hoxa1	homeobox A1 [Source:MGI Symbol;Acc:MGI:96170]	protein_coding
ENSMUSG00000087658	Hotairm1	Hoxa transcript antisense RNA, myeloid-specific 1 [Source:MGI Symbol;Acc:MGI:3705155]	lncRNA
ENSMUSG00000014704	Hoxa2	homeobox A2 [Source:MGI Symbol;Acc:MGI:96174]	protein_coding
